MTCO1P12	1.5725399149668773
PLCH2	1.309221079379248
FAM153A	1.0517842781772506
CCR4	1.0173701539226894
ZNF365	1.000747041831953
GOLGA8A	0.9721572136533503
CXorf57	0.9479785340563458
KIF5C	0.930258598073582
PHLDB2	0.8937398886958396
NLRC3	0.8932838684538247
ANK3	0.8796817040884841
RPL14P1	0.8719813195676194
ETS1	0.866432479355769
KLF8	0.8349848754310605
PATJ	0.8264968714271026
RASGRP1	0.8121754655938922
PCDHGA6	0.8099975176744927
MAF	0.8052754298830953
AMOT	0.7996204962605402
NFATC2	0.7967287374204144
PPP1R16B	0.7940840785414416
CTC-425O23.5	0.7888249969427914
IKZF3	0.786226974786544
MICAL3	0.7826718979242573
GSE1	0.7814136981082935
ATP8B2	0.7790875203911654
ZKSCAN8	0.7777069077257135
TRIB2	0.7715409869998346
CBLB	0.7711581115274786
DDHD2	0.7611253512522662
CHD6	0.7582357470209935
LRBA	0.7510588922526393
SFMBT2	0.7508373019577101
SLFN13	0.7491812463799539
LINC00426	0.743391480882595
KMT2A	0.7422750962868268
OSBPL3	0.7329114856273629
FKTN	0.7128927485089633
L2HGDH	0.712581189253632
DCAF16	0.7117225774257872
ZNF70	0.7109167993261352
CA5B	0.7097243957637138
PTPDC1	0.705980710365619
POU6F1	0.69789407574783
MPRIP	0.6953219114874756
EEF2K	0.6921250867717612
RP11-147L13.15	0.6882352756389469
SLC4A8	0.6723541796974954
HLCS	0.6719646849215213
ATP10A	0.6684350469470868
FBXO32	0.66223070093708
UST	0.6586704196841655
C12orf66	0.6563756445237008
NOL9	0.6547550692166384
ZNF549	0.650352022710897
WEE1	0.6486953479144342
PPM1K	0.6446587056582036
FBXW8	0.6397959648101574
WDR60	0.63597438303802
ADGRL1	0.6354908685705372
SMYD4	0.6228925985644764
SMAD3	0.6210271021683536
FOXK1	0.6178652648978176
FBXO21	0.6107134654238617
RTTN	0.6078446749182911
ADARB1	0.6038034321526577
CCDC191	0.5982186667554972
TRAF3IP1	0.5962056093799983
IL2RA	0.5923181769531753
HPS4	0.5865143572980411
LRIG2	0.5806592273181668
MYO9A	0.5751792472008601
METTL16	0.5701504471238836
DOPEY1	0.561986133165016
LINC01184	0.5613181947162937
WHSC1	0.5585905074125392
TNRC6A	0.5567283380243104
HNRNPH1	0.5440298820322536
EP400	0.5434966298941433
FARP2	0.5355873801182094
MGA	0.5267143985192266
TULP4	0.5223018460013273
CTC-559E9.5	0.5172168921701283
PAPD7	0.5116403678736763
CENPC	0.5106047491003354
PRKCH	0.5081658323217493
MTPAP	0.48186356943131514
ZNF318	0.48146880442477347
TRIM17	0.4801404109125733
SRSF8	0.46882296967957515
ZNF585B	0.4670498952652382
IKBKAP	0.46661652753226157
MTMR2	0.4663205220263418
SPIRE2	0.46579463053219206
RAD18	0.4616048771580026
USP24	0.44640372316724886
LIG3	0.4446841071976575
UBE2G2	0.44183096605578065
ESYT2	0.4413869213154147
DFFB	0.42979458100810053
GNE	0.4169009789438354
KANSL3	0.4074258395599859
EXOC2	0.3892566979123746
FAM160B2	0.37368124196069985
ORAOV1	0.33097257471275743
bP-2171C21.6	0.307416506239532
CTD-2113L7.1	0.28227797575383207
GTPBP4	0.2732661004995496
MARVELD3	0.17740338956250223
